Id,Nombre,Equipo,Puntaje,Competencias
45536,IVWDVDBJT,Bridgestone,5125.88,143
98822,VISXZSPBQ,Porsche,7854.23,28
13597,DIMYKDEEL,Citroën,2507.60,168
76984,DWUHAUJWJ,Ferrari,3020.21,44
40024,TBIJSNOOD,Ford,5518.02,64
55625,WITHMSCTT,Kia,9993.32,198
79454,GIATKLCQC,Bugatti,9069.01,100
63955,SLXZCIKUO,Haas,1403.88,94
26358,ZKXPRJWJI,Dodge,2559.27,73
16028,TBVYQOGUV,Maserati,8605.56,21
81851,ZISPGRBFW,Brembo,9306.61,176
15107,KPZDDUHPQ,Chevrolet,6130.49,97
64925,VMQYJFXCV,Bosch,3353.11,135
8855,WFZSDGDIG,Chevrolet,4666.28,173
76657,WRSEOFNYP,Land Rover,1255.63,142
81046,SIGWDEMAK,Ford,3170.54,108
3064,CFNHQLTKC,Brembo,819.76,196
27309,ABNQQPMPS,Michelin,571.22,90
47124,ZDJLNSPIR,Dodge,3477.65,19
84014,OTNABTABG,Nissan,7569.82,105
73092,SHRKJGKKW,Bridgestone,1888.30,169
94943,YCDDBMNYV,Petronas,7360.50,175
62048,JNFMSMOKG,Alfa Romeo,3453.35,28
19681,AEXUOXMHB,Citroën,4426.10,164
17091,HALCSZXOX,Bridgestone,7526.33,1
4949,WBGXWBXGK,Aston Martin,2132.22,7
36222,QMGRGDQSV,Audi,3073.24,53
35691,OVMQYNZOX,Jeep,6835.13,75
42865,QSSARYPOA,Chevrolet,5885.54,18
11298,MDFRGHACL,Kia,9953.31,190
96510,FLGYSTYNY,Lotus,9188.99,20
66683,BKUYDFVVA,Goodyear,760.34,193
46797,SKUAXKHGQ,Castrol,8706.84,179
65409,POBSTAXMW,Sauber,9002.56,82
52425,JSZPSSSQI,Citroën,6155.01,117
57547,SVFZTKKQW,Subaru,108.62,183
8046,XQHMVVNFQ,Lotus,9849.92,198
78469,JGDJSQEHJ,Ford,1989.94,21
2011,KDZMRDLRZ,Citroën,2563.30,86
